year,week,movie_rank,movie_id,movie_weekly_revenue
2013,1,1,1070901,360095
2013,1,2,2008417,285850
2013,1,3,1178712,284800
2013,1,4,2012783,268360
2013,1,5,2011348,168950
2013,1,6,1334680,161920
2013,1,7,2017313,155080
2013,1,8,2006874,153550
2013,1,9,2005462,153250
2013,1,10,2008031,123180
2013,1,11,2011370,108100
2013,1,12,2009176,101150
2013,1,13,2011402,77400
2013,1,14,2016635,63650
2013,1,15,2004882,53500
2013,1,16,2018084,9250
2013,1,17,1390468,6420
2013,1,18,2018558,5700
2013,2,1,1070901,455760
2013,2,2,1178712,326740
2013,2,3,2009176,278010
2013,2,4,2012783,272620
2013,2,5,2008329,218550
2013,2,6,2017313,206070
2013,2,7,1334680,205900
2013,2,8,1334680,205900
2013,2,9,2008417,205180
2013,2,10,2006874,159600
2013,2,11,2005462,144970
2013,2,12,2011348,120990
2013,2,13,2008031,115980
2013,2,14,2016635,82000
2013,2,15,2003623,73970
2013,2,16,2011402,59050
2013,2,17,2012462,54780
2013,2,18,2004882,54680
2013,2,19,2011370,32400
2013,2,20,2018084,10880
2013,2,21,1390468,8980
2013,2,22,1390468,8980
2013,2,23,2018558,6840
2013,3,1,1178712,712600
2013,3,2,2011908,648040
2013,3,3,2012783,154690
2013,3,4,2017313,138550
2013,3,5,2008417,120250
2013,3,6,2006874,112880
2013,3,7,1334680,106450
2013,3,8,2003623,66970
2013,3,9,2009218,52080
2013,3,10,2016635,43370
2013,3,11,2004882,27620
2013,3,12,2018084,6950
2013,3,13,1390468,5070
2013,3,14,2018558,4300
2013,4,1,2018689,4830280
2013,4,2,2011908,533420
2013,4,3,2004456,421340
2013,4,4,1334680,147650
2013,4,5,2007478,103340
2013,4,6,1178712,97170
2013,4,7,2017313,93250
2013,4,8,2008329,83300
2013,4,9,2005462,67780
2013,4,10,2016635,22520
2013,4,11,2006874,17990
2013,4,12,2018558,2750
2013,4,13,2018084,1900
2013,5,1,2018689,4005550
2013,5,2,2018829,1817050
2013,5,3,1178712,38490
2013,5,4,2017313,24420
2013,5,5,2016635,5320
2013,5,6,2006874,4940
2013,5,7,2006874,4940
2013,5,8,2018558,1500
2013,6,1,2018480,24950
2013,7,1,2018829,1392340
2013,7,2,2018689,1301970
2013,7,3,2011908,244392
2013,7,4,2009178,229336
2013,7,5,2008527,225281
2013,7,6,2018480,52710
2013,8,1,2018829,913470
2013,8,2,2018689,782620
2013,8,3,2006602,385892
2013,8,4,2009178,182329
2013,8,5,2008527,82755
2013,8,6,2017785,56750
2013,8,7,2018480,42420
2013,9,1,2018829,571010
2013,9,2,2018689,503500
2013,9,3,2006602,351044
2013,9,4,2008527,182081
2013,9,5,2006196,146263
2013,9,6,2011908,108474
2013,9,7,2009178,102346
2013,9,8,2005444,98906
2013,9,9,2018480,34830
2013,9,10,2018177,32856
2013,9,11,2017785,22461
2013,10,1,2018829,473880
2013,10,2,2018689,407870
2013,10,3,2006602,220221
2013,10,4,2011908,186841
2013,10,5,2017905,173755
2013,10,6,2009216,110684
2013,10,7,2009178,92313
2013,10,8,2005444,88227
2013,10,9,2008527,59254
2013,10,10,2018177,21373
2013,11,1,2007825,458870
2013,11,2,2018829,340770
2013,11,3,2009977,337155
2013,11,4,2018689,226950
2013,11,5,2019070,131307
2013,11,6,2006602,117293
2013,11,7,2017905,106660
2013,11,8,2006196,86625
2013,11,9,2011908,77847
2013,11,10,2009178,62370
2013,11,11,2009216,60325
2013,11,12,2005444,40184
2013,11,13,2018480,13830
2013,12,1,2007825,410600
2013,12,2,2009977,294327
2013,12,3,2018829,263180
2013,12,4,2018689,198880
2013,12,5,2008453,120777
2013,12,6,2019070,111458
2013,12,7,2006602,98666
2013,12,8,2017905,95689
2013,12,9,2006196,68779
2013,12,10,2004286,57032
2013,12,11,2020629,28635
2013,12,12,2019670,20092
2013,12,13,2018480,12280
2013,13,1,2007825,301569
2013,13,2,2009977,283982
2013,13,3,2018829,235663
2013,13,4,2009852,234181
2013,13,5,2018689,184430
2013,13,6,2008453,111852
2013,13,7,2005249,108649
2013,13,8,2019831,101964
2013,13,9,2019070,88857
2013,13,10,2006602,83969
2013,14,1,2019941,380787
2013,14,2,2008703,327523
2013,14,3,2007825,314856
2013,14,4,2009852,250031
2013,14,5,2018829,213262
2013,14,6,2018689,158120
2013,14,7,2009977,150890
2013,14,8,2019831,104155
2013,14,9,2019070,84359
2013,14,10,2005249,75709
2013,14,11,2012060,39945
2013,14,12,2019536,19074
2013,15,1,2019941,285469
2013,15,2,2007825,284110
2013,15,3,2018829,216380
2013,15,4,2008703,163607
2013,15,5,2018689,150830
2013,15,6,2018043,62724
2013,15,7,2005249,58125
2013,15,8,2019536,47900
2013,15,9,2012060,41135
2013,16,1,2010683,375679
2013,16,2,2007825,238371
2013,16,3,2018829,193780
2013,16,4,2018689,133744
2013,16,5,2009271,100572
2013,16,6,2005249,41971
2013,16,7,2012060,22440
2013,17,1,2019954,212911
2013,17,2,2007825,190145
2013,17,3,2018829,161575
2013,17,4,2018689,80905
2013,17,5,2019838,75405
2013,17,6,2005249,10174
2013,18,1,2018696,3414100
2013,18,2,2011654,178665
2013,18,3,2019390,125386
2013,18,4,2018829,73995
2013,18,5,2007825,60700
2013,18,6,2018689,27000
2013,18,7,2005249,8773
2013,19,1,2019606,2515738
2013,19,2,2018696,2028691
2013,19,3,2011209,1621245
2013,19,4,2018829,91365
2013,19,5,2007825,62855
2013,19,6,2018689,33170
2013,19,7,2005249,7236
2013,20,1,2019606,1795166
2013,20,2,2011209,930250
2013,20,3,2018696,646315
2013,20,4,2018739,109391
2013,20,5,2018829,41864
2013,20,6,2007825,20775
2013,20,7,2018689,14068
2013,21,1,2019606,1436800
2013,21,2,2018696,587500
2013,21,3,2011209,520156
2013,21,4,2007397,371670
2013,21,5,2018829,35500
2013,21,6,2007825,21470
2013,21,7,2018689,17670
2013,22,1,2019606,1240320
2013,22,2,2008880,1229885
2013,22,3,1294243,776350
2013,22,4,2018696,527080
2013,22,5,2011209,524387
2013,22,6,2007397,425186
2013,22,7,2012595,126336
2013,22,8,2020082,64500
2013,22,9,2021530,27994
2013,22,10,2018829,13701
2013,22,11,2018689,6437
2013,23,1,2008880,1076431
2013,23,2,2019606,801380
2013,23,3,1294243,661553
2013,23,4,2016917,589590
2013,23,5,2007397,341550
2013,23,6,2018696,341050
2013,23,7,2012595,189422
2013,23,8,2020082,66580
2013,23,9,2018829,9810
2013,23,10,2018689,3844
2013,24,1,1294243,750800
2013,24,2,2008880,705250
2013,24,3,2019606,660378
2013,24,4,2016917,446378
2013,24,5,2019704,360570
2013,24,6,2018696,268740
2013,24,7,2007397,265753
2013,24,8,2010192,99020
2013,24,9,2020082,51870
2013,24,10,1275307,41170
2013,24,11,2017768,30047
2013,25,1,2005392,920310
2013,25,2,2019606,637805
2013,25,3,1294243,550944
2013,25,4,2008880,467941
2013,25,5,2019704,432667
2013,25,6,1275307,314680
2013,25,7,2018696,251834
2013,25,8,2007397,223440
2013,25,9,2012595,156424
2013,25,10,2016632,107283
2013,25,11,2010192,94400
2013,25,12,2017768,39582
2013,25,13,2020082,23875
2013,26,1,2005392,1050648
2013,26,2,2019606,493020
2013,26,3,2009663,433046
2013,26,4,1294243,414541
2013,26,5,2003728,349418
2013,26,6,2008211,333652
2013,26,7,2019704,317220
2013,26,8,2008880,244726
2013,26,9,2018696,224597
2013,26,10,2016632,100986
2013,26,11,2010192,62517
2013,26,12,2020082,21581
2013,26,13,2017768,20400
2013,26,14,2012422,12524
2013,26,15,1275307,3220
2013,27,1,2005392,502718
2013,27,2,2003728,276414
2013,27,3,2009663,228334
2013,27,4,2008211,214976
2013,27,5,1294243,204603
2013,27,6,2020190,163015
2013,27,7,2008880,138149
2013,27,8,2019606,132400
2013,27,9,2018696,114692
2013,27,10,2021165,68297
2013,27,11,2016917,61509
2013,27,12,2016632,44542
2013,27,13,2010192,30384
2013,27,14,2017768,8714
2013,27,15,2020082,8472
2013,27,16,2012422,2682
2013,28,1,2005392,283560
2013,28,2,2003728,225752
2013,28,3,2008211,187075
2013,28,4,2009663,153893
2013,28,5,2020190,136893
2013,28,6,2019606,127558
2013,28,7,1294243,123849
2013,28,8,2008880,87679
2013,28,9,2018696,82514
2013,28,10,2021165,59736
2013,28,11,2016632,39881
2013,28,12,2017768,9554
2013,28,13,2020082,5159
2013,28,14,2012422,2531
2013,29,1,2003728,60613
2013,29,2,2005392,53272
2013,29,3,2008211,28417
2013,29,4,2009663,26710
2013,29,5,2008880,15509
2013,29,6,2019606,15022
2013,29,7,2018696,9450
2013,29,8,2021165,8105
2013,29,9,2016632,2560
2013,29,10,2012422,1243
2013,29,11,2017768,273
2013,29,12,2017768,273
2013,31,1,2003728,40398
2013,31,2,2021241,37688
2013,31,3,2005392,34393
2013,31,4,2008211,26593
2013,31,5,2019704,24220
2013,31,6,2009663,21399
2013,31,7,2008880,12277
2013,31,8,2019606,11548
2013,31,9,2021165,9332
2013,31,10,1294243,5394
2013,31,11,2018696,4210
2013,31,12,2016632,1976
2013,31,13,2017768,637
2013,31,14,2017768,637
2013,31,15,2012422,200
2013,37,1,2005518,14200000
2013,37,2,2017531,2588009
2013,37,3,2018931,950000
2013,37,4,2007223,600000
2013,37,5,2020280,520000
2013,37,6,2020280,500000
2013,37,7,2012823,427292
2013,37,8,2019753,178437
2013,37,9,2021733,130837
2013,37,10,2010318,97756
2013,37,11,2020280,520
2013,38,1,2005518,300000
2013,38,2,2017531,250000
2013,38,3,2007223,50000
2013,38,4,2018931,50000
2013,38,5,2020280,20000
2013,39,1,2005518,269974
2013,39,2,2020506,188196
2013,39,3,2022421,174581
2013,39,4,2019753,151257
2013,39,5,2019743,130117
2013,39,6,2010318,101253
2013,39,7,2012823,100720
2013,39,8,2021733,91784
2013,39,9,2018931,60450
2013,39,10,2017531,51496
2013,39,11,2020280,38303
2013,39,12,2007223,34260
2013,39,13,2024965,14937
2013,40,1,2005518,239053
2013,40,2,2020506,169282
2013,40,3,2009272,156519
2013,40,4,2022174,137512
2013,40,5,2018931,45187
2013,40,6,2017531,44693
2013,40,7,2020280,38452
2013,40,8,2019878,37643
2013,40,9,2007223,25979
2013,40,10,2017441,15426
2013,41,1,2008408,236134
2013,41,2,2005518,190695
2013,41,3,2022174,135505
2013,41,4,2024368,114846
2013,41,5,2009272,99541
2013,41,6,2021928,58110
2013,41,7,2020675,57517
2013,41,8,2020675,57517
2013,41,9,2018931,46023
2013,41,10,2017531,36365
2013,41,11,2020280,30720
2013,41,12,2007223,21483
2013,42,1,2012045,1079540
2013,42,2,2021511,616258
2013,42,3,2006332,456794
2013,42,4,2021414,367347
2013,42,5,2025534,365870
2013,42,6,2005518,335940
2013,42,7,2008408,179345
2013,42,8,2024681,123715
2013,42,9,2021031,28404
2013,42,10,2018931,25532
2013,42,11,2020280,18654
2013,42,12,2007223,15603
2013,42,13,2017531,4142
2013,43,1,2012045,5824126
2013,43,2,2021511,2639009
2013,43,3,2021414,1945006
2013,43,4,2025534,1762078
2013,43,5,2006332,781455
2013,43,6,2005518,658510
2013,43,7,2008408,187574
2013,43,8,2004424,155243
2013,43,9,2024681,133291
2013,44,1,2021414,688046
2013,44,2,2021511,577741
2013,44,3,2012045,576391
2013,44,4,2006332,462219
2013,44,5,2025534,198302
2013,44,6,2008408,187573
2013,44,7,2005518,80726
2013,44,8,2025337,80411
2013,44,9,2024681,66302
2013,44,10,2004424,49100
2013,45,1,2021414,587304
2013,45,2,2006332,430306
2013,45,3,2012045,372058
2013,45,4,2021511,358653
2013,45,5,2005106,271003
2013,45,6,2025693,263289
2013,45,7,2025534,118549
2013,45,8,2008408,70889
2013,45,9,2008438,38988
2013,46,1,2009209,593675
2013,46,2,2021414,384160
2013,46,3,2012045,279852
2013,46,4,2021511,273510
2013,46,5,2005106,174973
2013,46,6,2025534,82572
2013,46,7,2005518,42045
2013,46,8,2008408,31641
2013,47,1,2009209,647661
2013,47,2,2021414,448382
2013,47,3,2021511,282210
2013,47,4,2012045,255519
2013,47,5,2005106,190593
2013,47,6,2025384,159263
2013,47,7,2022489,126387
2013,47,8,2024921,93606
2013,47,9,2025437,41686
2013,47,10,2010026,37308
2013,47,11,2005518,32208
2013,47,12,2026043,20695
2013,48,1,2021414,475936
2013,48,2,2011812,304896
2013,48,3,2021511,189983
2013,48,4,2012045,187194
2013,48,5,2011671,126067
2013,48,6,2010388,125425
2013,48,7,2022174,125425
2013,48,8,2025384,68606
2013,48,9,2025534,59215
2013,48,10,2005518,30552
2013,49,1,2019649,548777
2013,49,2,2021414,381981
2013,49,3,2009209,380230
2013,49,4,2011812,280502
2013,49,5,2012045,166316
2013,49,6,2021511,162417
2013,49,7,2025578,111575
2013,49,8,2025575,73799
2013,49,9,2021771,51523
2013,49,10,2025534,48333
2013,49,11,2010388,43125
2013,49,12,2005518,25328
2013,50,1,2019649,444681
2013,50,2,2021414,322818
2013,50,3,2012045,143025
2013,50,4,2021511,140373
2013,50,5,2025534,43765
2013,50,6,2010733,23559
2013,50,7,2005518,20054
2013,51,1,2021414,189100
2013,51,2,2019649,178495
2013,51,3,2009209,148573
2013,51,4,2012045,87545
2013,51,5,2021511,73940
2013,51,6,2025534,26311
2013,51,7,2020176,25235
2013,51,8,1783907,21875
2013,51,9,2005518,6471
2013,52,1,2021414,203479
2013,52,2,2019649,149829
2013,52,3,2012045,107325
2013,52,4,2021511,86332
2013,52,5,2025534,32890
2013,52,6,2003922,32606
2013,52,7,1783907,23142
2013,52,8,2005518,6970
2014,1,1,2019646,1509532
2014,1,2,2020775,614157
2014,1,3,2025544,329955
2014,1,4,2021414,155742
2014,1,5,2008433,148024
2014,1,6,2025730,132853
2014,1,7,2019649,113956
2014,1,8,2012045,107002
2014,1,9,2026503,84832
2014,1,10,2021511,67158
2014,1,11,2025534,21799
2014,1,12,2003922,14094
2014,1,13,1783907,14051
2014,2,1,1521400,767717
2014,2,2,2019646,547734
2014,2,3,2010539,505353
2014,2,4,2024650,425069
2014,2,5,2020775,392851
2014,2,6,2021414,170701
2014,2,7,2012045,126987
2014,2,8,2026568,105982
2014,2,9,2021511,78418
2014,2,10,2026503,74147
2014,2,11,2025730,65317
2014,2,12,2025544,47025
2014,2,13,2025534,17896
2014,2,14,2024369,16874
2014,2,15,1783907,7280
2014,2,16,2003922,4200
2014,3,1,1521400,444056
2014,3,2,2021859,341269
2014,3,3,2025730,242735
2014,3,4,2019646,218886
2014,3,5,2024650,136560
2014,3,6,2021414,131550
2014,3,7,2012045,82767
2014,3,8,2010428,61499
2014,3,9,2027056,60692
2014,3,10,2021511,56942
2014,3,11,2025534,18195
2014,3,12,1783907,4315
2014,3,13,2003922,1006
2014,4,1,2010539,423767
2014,4,2,1521400,342445
2014,4,3,2021414,135554
2014,4,4,2009848,83066
2014,4,5,2012045,78615
2014,4,6,2021859,58853
2014,4,7,2026503,52649
2014,4,8,2021511,51813
2014,4,9,2026568,38650
2014,4,10,2025730,37706
2014,4,11,2027056,27585
2014,4,12,2025534,15612
2014,4,13,1783907,4758
2014,5,1,2018285,931537
2014,5,2,2024383,353176
2014,5,3,2020775,350087
2014,5,4,1521400,264615
2014,5,5,2017641,164337
2014,5,6,2024944,145512
2014,5,7,2019646,107765
2014,5,8,2021414,102009
2014,5,9,2021036,88648
2014,5,10,2022439,87143
2014,5,11,2024650,72401
2014,5,12,2012045,69566
2014,5,13,2008433,68606
2014,5,14,2019649,44000
2014,5,15,2021511,24641
2014,5,16,2025534,11693
2014,5,17,2026568,10231
2014,5,18,2025730,7261
2014,6,1,2018285,922025
2014,6,2,2021758,408696
2014,6,3,2025336,399811
2014,6,4,2020775,346450
2014,6,5,2024383,298295
2014,6,6,2022240,220287
2014,6,7,1521400,195670
2014,6,8,2025588,194405
2014,6,9,2017641,161894
2014,6,10,2027144,137199
2014,6,11,2024944,129513
2014,6,12,2019646,83041
2014,6,13,2021036,77503
2014,6,14,2021981,47445
2014,6,15,2012045,44816
2014,6,16,2021414,43645
2014,6,17,2008433,27225
2014,6,18,2021511,9586
2014,7,1,2018285,986439
2014,7,2,2022240,463554
2014,7,3,2021758,359156
2014,7,4,2025336,269140
2014,7,5,2012125,145477
2014,7,6,2025588,143892
2014,7,7,2027144,137755
2014,7,8,1521400,100103
2014,7,9,2011199,92813
2014,7,10,2006332,82555
2014,7,11,2027021,81808
2014,7,12,2024944,75226
2014,7,13,2017641,59298
2014,7,14,2021036,51057
2014,7,15,2008433,28836
2014,7,16,2021981,27535
2014,7,17,2012045,19256
2014,7,18,2021414,16642
2014,7,19,2021511,2172
2014,8,1,2018285,1097486
2014,8,2,2022240,471065
2014,8,3,2021758,279021
2014,8,4,2025262,214786
2014,8,5,2024383,201999
2014,8,6,2025336,199286
2014,8,7,2025521,142409
2014,8,8,2027144,116680
2014,8,9,1521400,109059
2014,8,10,2012125,88458
2014,8,11,2027021,70352
2014,8,12,2017641,64023
2014,8,13,2004442,53671
2014,8,14,2021036,31987
2014,8,15,2012045,25771
2014,8,16,2021981,22452
2014,8,17,2006332,20294
2014,8,18,2021414,10994
2014,8,19,2021511,5671
2014,9,1,2022240,1165908
2014,9,2,2018285,1097200
2014,9,3,2026817,269056
2014,9,4,2025366,232000
2014,9,5,2021758,190590
2014,9,6,2021886,187609
2014,9,7,2025262,167309
2014,9,8,2025598,163936
2014,9,9,2025521,111337
2014,9,10,2025336,109562
2014,9,11,2024383,106308
2014,9,12,2027144,81843
2014,9,13,1521400,69983
2014,9,14,2026044,44218
2014,9,15,2004442,37988
2014,9,16,2012045,23408
2014,9,17,2021036,18362
2014,9,18,2021414,11105
2014,9,19,2021511,2414
2014,10,1,2018285,858960
2014,10,2,2026817,250873
2014,10,3,2022240,245706
2014,10,4,2025366,192102
2014,10,5,2009081,169426
2014,10,6,2025262,162302
2014,10,7,2021886,158855
2014,10,8,2025598,143969
2014,10,9,2021758,136240
2014,10,10,2027144,73081
2014,10,11,1521400,59576
2014,10,12,2010133,54497
2014,10,13,2025327,52148
2014,10,14,2026044,33056
2014,10,15,2012045,13129
2014,10,16,2021036,13010
2014,10,17,2021414,5460
2014,11,1,2009666,847060
2014,11,2,2018285,647024
2014,11,3,2022240,201734
