movie_id,movie_title,movie_rating,movie_country,movie_length,movie_release_date,movie_genre,movie_mpaa_rating,movie_director,movie_total_revenue
1070901,The Hobbit: An Unexpected Journey,8.6,New Zealand,169,12-12-2012,Fantasy,PG-13,Peter Jackson,1766315
2008417,The Twilight Saga: Breaking Dawn – Part 2,7.1,US,115,14-11-2012,Fantasy,PG-13,Bill Condon,4731280
1178712,Haflet Montasaf El-Leil,5.7,Egypt,85,26-12-2012,Crime,G,Mahmoud Kamel,1459800
2012783,Jack Reacher,7.8,US,130,26-12-2012,Thriller,PG-13,Christopher McQuarrie,695670
2011348,The Impossible,8.2,Spain,114,19-12-2012,Action,PG-13,J.A. Bayona,450230
1334680,Abdo Motah,5.3,Egypt,90,24-10-2012,Adventure,PG-13,Ismail Farouk,22447720
2017313,Al-Anissa Mamy,5.7,Egypt,100,24-10-2012,Comedy,NR,Wael Ehsan,15318070
2006874,Mosawer Qateel,7.2,Egypt,95,05-12-2012,Crime,NR,Karim El Adl,1299720
2005462,Silent Hill: Revelation 3D,7.1,France,94,26-12-2012,Horror,NC-17,Michael J. Bassett,366000
2008031,Skyfall,7.9,UK,143,31-10-2012,Action,NR,Sam Mendes,4261930
2011370,Killing Them Softly,5.6,US,100,19-12-2012,Thriller,R,Andrew Dominik,341350
2009176,Sinister,6.9,US,110,19-12-2012,Thriller,NC-17,Scott Derrickson,523320
2011402,Hotel Transylvania,7.9,US,92,31-10-2012,Comedy,G,Genndy Tartakovsky,1143570
2016635,Saboba,5,Egypt,97,28-12-2012,Crime,G,Peter Mimi,216860
2004882,Argo,7.6,US,120,21-11-2012,Thriller,R,Ben Affleck,613970
2018084,Mohema Fi Film Adeem,4.1,Egypt,85,24-10-2012,Comedy,G,Ahmed Al Badry,2569730
1390468,Saeat wans,8.6,Egypt,126,03-10-2012,Drama,G,Wael Ehsan,8899700
2018558,February the 30th,7.4,Egypt,95,24-10-2012,Comedy,G,Moataz El Tony,3051760
2008329,Silver Linings Playbook,7.8,US,122,02-01-2013,Comedy,NC-17,David O. Russell,301850
2003623,Les Misérables,8.4,US,157,02-01-2013,Musical,PG-13,Tom Hooper,140940
2012462,Alex Cross,6.1,US,101,02-01-2013,Crime,PG-13,Rob Cohen,54780
2011908,Life of Pi,8.6,US,127,07-01-2013,Drama,G,Ang Lee,1799014
2009218,This Is 40,5.1,US,134,09-01-2013,Comedy,NC-17,Judd Apatow,52080
2018689,Ala Gothety,5.7,Egypt,108,16-01-2013,Drama,G,Mohamed Bakir,13067838
2004456,Django Unchained,8.8,US,165,16-01-2013,Drama,R,Quentin Tarantino,421340
2007478,Texas Chainsaw 3D,5.5,US,92,16-01-2013,Horror,NC-17,John Luessenhop,103340
2018829,Al Hafla,8.3,Egypt,92,23-01-2013,Action,G,Ahmad Alaa Aldeeb,7058595
2018480,Howa Fi Keda,4.1,Egypt,95,30-01-2013,Drama,G,Hosny Saleh,181020
2009178,Warm Bodies,8.2,US,97,06-02-2013,Romance,NC-17,Jonathan Levine,668694
2008527,Hansel & Gretel: Witch Hunters,7.5,Germany,88,30-01-2013,Comedy,G,Tommy Wirkola,549371
2006602,A Good Day to Die Hard,7.3,US,97,13-02-2013,Thriller,NC-17,John Moore,1257085
2017785,Gambit,5.3,US,89,13-02-2013,Crime,PG-13,Michael Hoffman,79211
2006196,Broken City,6.4,US,109,20-02-2013,Thriller,NC-17,Allen Hughes,301667
2005444,Lincoln,7.3,US,150,20-02-2013,Biography,NR,Steven Spielberg,227317
2018177,The Guilt Trip,5.3,US,95,20-02-2013,Comedy,PG-13,Anne Fletcher,54229
2017905,Mama,7.1,Canada,100,27-02-2013,Horror,PG-13,Andres Muschietti,376104
2009216,Gangster Squad,6.2,US,113,27-02-2013,Drama,NC-17,Ruben Fleischer,171009
2007825,Febrayer Al-Aswad,8.1,Egypt,117,06-03-2013,Comedy,G,Mohamed Amin,2364321
2009977,Oz: The Great and Powerful,8.1,US,100,07-03-2013,Fantasy,PG,Sam Raimi,1066354
2019070,Safe Haven,7.1,US,115,06-03-2013,Drama,R,Lasse Hallström,415981
